ObjectSetup = .text:0x00000000; // type:function size:0x30 scope:local
boardShopHostMdl = .data:0x0000002E; // type:object size:0x2 data:2byte
boardLotteryHostMdl = .data:0x00000030; // type:object size:0x2 data:2byte
boardBooHouseHostMdl = .data:0x00000032; // type:object size:0x2 data:2byte
charMotDirTbl = .data:0x00000034; // type:object size:0x20 scope:local data:4byte
starHostMot = .data:0x00000054; // type:object size:0x8 scope:local
shopHostMot = .data:0x0000005C; // type:object size:0x8 scope:local
lotteryHostMot = .data:0x00000064; // type:object size:0x8 scope:local
booHouseHostMot = .data:0x0000006C; // type:object size:0x8 scope:local
hostMot = .data:0x00000078; // type:object size:0x8 scope:local
hostPosTbl = .data:0x00000080; // type:object size:0x18 scope:local data:float
lbl_1_data_98 = .data:0x00000098; // type:object size:0x2D scope:local data:string
rollDataTbl = .data:0x000000C6; // type:object size:0x42 scope:local
sceneTbl = .data:0x00000108; // type:object size:0x150 scope:local
lbl_1_data_258 = .data:0x00000258; // type:object size:0x50 scope:local data:string
tutorialSprTbl = .data:0x000002A8; // type:object size:0x2C scope:local
boardWork = .bss:0x00000000; // type:object size:0x4 data:4byte
lbl_1_bss_4 = .bss:0x00000004; // type:object size:0x4 data:4byte
motTbl = .bss:0x00000008; // type:object size:0x4 scope:local data:4byte
tutorialDoneF = .bss:0x0000000C; // type:object size:0x2 data:2byte
tutorialExitWin = .bss:0x0000000E; // type:object size:0x2 data:2byte
boardMapObjMdl = .bss:0x00000010; // type:object size:0x2 data:2byte
hostProc = .bss:0x00000018; // type:object size:0x4 scope:local data:4byte
hostPos = .bss:0x0000001C; // type:object size:0x2 scope:local data:2byte
hostMdl = .bss:0x0000001E; // type:object size:0x2 scope:local data:2byte
sprCurr = .bss:0x00000020; // type:object size:0x2 scope:local data:2byte
sprList = .bss:0x00000022; // type:object size:0x16 scope:local
